,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-04-08 13:14:59,2.57737331683e-07,4.91551196996e-09,4.15388419681e-09,4.31671431002e-09
2020-04-08 13:29:59,2.50637086901e-07,3.96809892135e-09,2.97564182429e-09,3.47808793297e-09
2020-04-08 13:44:59,2.51720456239e-07,3.35745361167e-09,2.52892060869e-09,2.7614691556e-09
2020-04-08 13:59:59,2.46309974111e-07,3.51866054776e-09,2.61838256809e-09,2.75714278855e-09
2020-04-08 14:14:59,2.54540209502e-07,3.49834095166e-09,2.62069792239e-09,2.74179570486e-09
2020-04-08 14:29:59,2.49276375648e-07,3.24083319009e-09,2.54076132221e-09,2.69176504057e-09
2020-04-08 14:44:59,2.36408004246e-07,2.90899862756e-09,2.24201262067e-09,2.40556580814e-09
2020-04-08 14:59:59,2.5179003707e-07,3.15579292178e-09,2.41678265284e-09,2.53898392904e-09
2020-04-08 15:14:59,2.56666728021e-07,3.10795355194e-09,2.38702077839e-09,2.52398170551e-09
2020-04-08 15:29:59,2.34882712242e-07,3.29547257552e-09,2.18293986447e-09,2.84443707581e-09
2020-04-08 15:44:59,2.41072674884e-07,3.62087489788e-09,2.63779062273e-09,3.1980260804e-09
2020-04-08 15:59:59,2.47795349988e-07,2.44808042389e-09,1.627786316e-09,1.8491069385e-09
2020-04-08 16:14:59,2.41172910401e-07,2.47227898295e-09,1.60422100883e-09,1.78318969363e-09
2020-04-08 16:29:59,2.35886304409e-07,3.03843359992e-09,1.69296226028e-09,1.84886344434e-09
2020-04-08 16:44:59,2.32814560994e-07,3.10724363411e-09,1.77692793811e-09,1.955207217e-09
2020-04-08 16:59:59,2.35950578985e-07,2.86963714319e-09,2.13800784092e-09,2.31355537513e-09
2020-04-08 17:14:59,2.5551456071e-07,2.61871634639e-09,1.84771683717e-09,1.99387357437e-09
2020-04-08 17:29:59,2.36876062644e-07,3.46824171864e-09,2.50112313295e-09,3.00198681551e-09
2020-04-08 17:44:59,2.2646743734e-07,3.8263799879e-09,2.84629218748e-09,3.37723201451e-09
2020-04-08 17:59:59,2.36677775912e-07,3.84039515543e-09,3.14595883637e-09,3.31289352825e-09
2020-04-08 18:14:59,2.50603770179e-07,4.81860086211e-09,4.1772109024e-09,4.31970159309e-09
2020-04-08 18:29:59,2.42747892985e-07,5.64485696861e-09,4.98120051337e-09,5.12409631536e-09
2020-04-08 18:44:59,2.42673269688e-07,6.0403472741e-09,5.39839607851e-09,5.56087908604e-09
2020-04-08 18:59:59,2.5348659766e-07,4.78354926466e-09,4.03898294991e-09,4.23604102472e-09
2020-04-08 19:14:59,2.42925975878e-07,5.59009251081e-09,4.8704581063e-09,5.03837366256e-09
